,name,text
29,2018-11-17 04.32.06 1914084932692380500_britishmuseum.jpg,Wieder mal ein neues Bild von mir michaelwernergallery galeriemaxhetzler kounellis galleryweekend kunsthallebasel artcologne arttyco mnuch ingallery museumbarberini museumludwig marlborough loveleopold rothko momanyc gerhardrichter sigmarpolke helenfrankenthaler kunstforuminternational international galleriesnow newgallery massmoca britishmuseum thebluelemonade Whitecube themuseumofmodernart brooklynmuseum biennialearte christiesart sothebysimpmod artcontemporain interiorlovers artbaselmiami momaps centrepompidou palaisdetokyo artemoderna artecontemporanea artcritic abstractlover artsanity artecontemporaneo
30,2019-02-10 04.52.04 1975700913826098733_britishmuseum.jpg,Loneliness in a museum London visitlondon britishmuseum explorelondon cari tides
31,2019-03-17 00.42.59 2000942694768410616_britishmuseum.jpg,Hermosa colecci n
32,2019-03-17 23.07.39 2001619495856430432_britishmuseum.jpg,British museum fantastic museum architecture britishmuseum britishmuseumlondon
33,2019-03-22 18.25.12 2005101214039065701_britishmuseum.jpg,interiordesign antique interiores homedecor antiquefurniture homesweethome museumquality luxury luxurylife luxerystyle interiorismo doha qatar plates architecture louisvuitton hermes islamicart amber masbah pottery iznikpottery ottomanarts qatar doha louvre britishmuseum museumquality museumquartier bestplaceinlondon painter albassamiah
35,2019-04-11 22.20.38 2019715222533434512_britishmuseum.jpg,After watching lots of photographs and video s i ve decided to make a portrait of the queen of the fashion world Naomi Campbell I made a few sketches of some self improvised poses and colors and decided she would look fabulous on a canvas of x cm I hope you will like my latest work enjoy naomicampbell portrait fashionforrelief burberry prada versace chanel marcjacobs louisvuitton christiandior vogue elle marieclaire glamour allure instyle redbook fashionweek karllagerfeld art portrait britishmuseum beauty fashion painting catwalk artgallery oilpaint artlovers
36,2019-04-16 02.20.09 2022734879544619420_britishmuseum.jpg,Grecophile London BritishMuseum streetphotography streetphotographer streetfeat wearethestreet ig streetphotography streetphotographerscommunity streetphoto color theprettycities london only londontown londoncityworld shutup london london enthusiast londonforyou timeoutlondon unlimitedlondon chilloutlondon londonbylondoners gramminginlondon london city photo londonist londondisclosure londonguru londondecanted mylondonphoto londonstreets londoncityworld mylondon ig london toplondonphoto
37,2019-05-02 17.35.40 2034792085491941368_britishmuseum.jpg,years ago today Leonardo da Vinci died nd May and still regarded as one of the greatest polymaths in history This painting Salvator Mundi was recently identified as one of Leonardo s and depicts Jesus holding a crystal ball This is one of the first ever known paintings showing a crystal ball which became more popular in medieval times blackheath isleofdogs secretsociety sacredgeometry canarywharf secretlondon comics sciencefiction scifi timetraveler fantasy wicca forbiddenknowledge urbanwalk conspiracytheory wormhole occultism london shakespeare travel life photo britishmuseum night secretlondon london nyc paranormal amazing darklinesoflondon
38,2019-05-07 04.37.08 2038024104023431826_britishmuseum.jpg,rebelrebel hottramp I love you sooooo ukiyoe bowie britishmuseum
39,2019-05-13 05.20.12 2042394447341490345_britishmuseum.jpg,Edvard Munch s sick child of a highlight from the powerful exhibition of his work until July st at the British Museum The title was actually given to of his works executed over a long period Munch became obsessed with the tragic death of his sister Johanne pictured left from Tuberculosis It is probably her aunt Karen on the right Strong echoes of Picasso s Blue Period of the same time and for the visitor to the Tate Britain the pre raphaelite Too late by William Lindsay Lindus of This also deals with premature death from T B With the surge of Romanticism and the high mortality rate among middle aged adults it became known as the romantic disease bluebadgetouristguide expressionism norway art painting edvardmunch britishmuseum artexhibitions
40,2019-05-22 02.17.14 2048825329423103768_britishmuseum.jpg,The enduring image of The Ship Of Fools through the ages and it never becomes redundant blackheath isleofdogs secretsociety sacredgeometry canarywharf secretlondon comics sciencefiction scifi timetraveler fantasy wicca forbiddenknowledge urbanwalk conspiracytheory wormhole occultism london shakespeare travel life photo britishmuseum night secretlondon london nyc paranormal amazing darklinesoflondon
41,2019-06-05 03.27.05 2059007352004324291_britishmuseum.jpg,Of course we went straight to the mummies British museum has a huge amount of arts and artefacts taken from other countries the resulting is a most comprehensive collection in existence of the human history culture and art britishmuseum museum controversial mummy travel egypt mysterious visitlondon london art queen beautiful humanhistory history humanity details culture artefacts display treasure ancient
42,2019-06-12 03.34.25 2064084472647304898_britishmuseum.jpg,T A T E tatemodernmuseum artmuseums architecturephotography architecture bw bwphotography ihaveathingforshadows londonmuseum blackandwhite architectures beautifularchitecture timetoart modernart spaces tate britishmuseum uk
43,2019-06-28 22.33.24 2076254150836130310_britishmuseum.jpg,London britishmuseum
44,2019-06-30 19.52.25 2077622678646671838_britishmuseum.jpg,britishmuseum
45,2019-06-30 20.23.16 2077638210129183461_britishmuseum.jpg,britishmuseum
46,2019-06-30 20.36.36 2077644916158509662_britishmuseum.jpg,britishmuseum
47,2019-06-30 21.04.35 2077659007845638667_britishmuseum.jpg,britishmuseum
48,2019-06-30 21.17.33 2077665527639444009_britishmuseum.jpg,britishmuseum
49,2019-06-30 21.48.42 2077681209680652336_britishmuseum.jpg,britishmuseum
50,2019-07-01 01.19.59 2077787547685419923_britishmuseum.jpg,britishmuseum
51,2019-07-06 08.31.39 2081628698496198172_britishmuseum.jpg,Knidos
52,2019-07-06 17.09.33 2081889358776237389_britishmuseum.jpg,britishmuseum
53,2019-07-11 23.56.37 2085718126080329036_britishmuseum.jpg,Mola
55,2019-07-20 09.30.29 2091805162389959556_britishmuseum.jpg,britishmuseum
56,2019-07-21 19.17.51 2092825573555227332_britishmuseum.jpg,Look deep into NATURE and then u will understand everything better nature colours love sky london london all thisislondon londonphotos photographyiphone arcitecturephotography museum britishmuseum pictureoftheday uk
57,2019-07-22 23.11.53 2093668139553135932_britishmuseum.jpg,ipekdirioz
58,2019-07-24 03.46.32 2094531150190744885_britishmuseum.jpg,Seviyorum bu hayat
59,2019-07-26 17.47.40 2096404057627589886_britishmuseum.jpg,britishmuseum
