,name,text
25,2019-09-19 22.27.38 2136407637961642154_moma.jpg,newyorkcity london paris berlingallery collector saatchigallery deutschebank amsterdamcity pacegallerynyc museumofmodernart guggenheimmuseumbilbao contemporaryart artcologne artforum artfair contemporaryart hollywood artlovers areyouyou venice friezeweek artbasel shirnkunsthalle gladstonegallery artrotterdam architecture MoMa artgallery artcurators newartwork
26,2019-09-19 22.32.57 2136410317081752843_moma.jpg,parisartgallery parisartfair londonartfair whitecubegallery gladstonegallery shirnkunsthalle artforum miamiart artbasel artbaselmiamibeach artcologne contemporaryart artlovefeed artcollective contemporary newyorkcity london paris berlingalleryweekend berlinblog moscowgallery beijingart singaporeart MoMa MUMOK modernartmuseum gagosiangalleryhongkong k niggalerie maryboone
27,2019-09-19 22.33.52 2136410778748641921_moma.jpg,acid series untitled intuitiveart abstract art enhancedart alteredstate artcomposition colorintensity colortemperature acidart toxicart colortheory artoninstagram artbuyers artmarket moma tatemodern metropolitanmuseumofart themediumisthemessage dropindropout
28,2019-09-19 22.36.39 2136412177867732481_moma.jpg,moma momadesignstore ny
29,2019-09-19 22.37.00 2136412346252608234_moma.jpg,For just mon succreart will crate sketches and time lapse videos for you Dm her directly or join her patreon screenprinting baltimoresgifted baltimoremuseumofindustry baltimoreart baltimorerising redbullamaphiko redbull blackhistorymonth blackexcellence blackart blackyouthsart createbaltimore createyourfuture mybmore moma justicethroughart urbanart streetart streetwear supportblackartists mybmore youthfashion blackfashion urbanwear youthbusiness
30,2019-09-19 22.37.41 2136412694194956960_moma.jpg,art kunst arte ars music synthesizer synthpop garynuman painting artwork expressionismus expressionism modernart modernekunst sprengelmuseum musik design moma pop
31,2019-09-19 22.39.46 2136413742611324178_moma.jpg,The multidisciplinary artist Pope L will be on view at MOMA museum from October through January Quoting the museum Pope L b is a consummate thinker and provocateur whose practice across multiple mediums including painting drawing installation sculpture theater and video utilizes abjection humor endurance language and absurdity to confront and undermine rigid systems of belief themuseumofmodernart Image Pope L How Much is that Nigger in the Window a k a Tompkins Square Crawl New York NY Digital c print on gold fiber silk paper by in by cm Pope L Courtesy of the artists and Mitchell Innes Nash New York moma popel photography performance installation art sculpture momaexhibition newyorkartexhibition
32,2019-09-19 22.40.23 2136414055590357615_moma.jpg,Little Eddie Freaked Out Language of Objects oneexposure nophotoshop contemporaryart photosurrealism contemporaryartist photography newart art newartwork painting newcontemporaryart lighting theatre edwardschmedward artcritic canond iv canon hasselblad moma consciousness footinmouth
33,2019-09-19 22.41.38 2136414684459144030_moma.jpg,R I P FRANK PANCHOI Am Evolving Namaste truth photography create abstract art artist abstract abstractart abstractartist abstractexpressionism abstracts abstractobsession create creativity creative artwork art perspective artistic unity contemporary contemporaryart modern modernart fineart streetartglobe streetart moma hammermuseum extraterrestrial avantgarde gagosian lacmaI Am art Art And A SmileVast Universe StyleAll Art For SaleOriginals And Prints And All Videos Produced And Directed By Yours TrulyVast UniversePlease Follow me on my Art Page vastuniverse and my Inspirational spiritual page therealvastuniverse
34,2019-09-19 22.44.08 2136415943128292463_moma.jpg,If you think this is staged you re right moma fifthavenue manhattan doingitforthegram
35,2019-09-19 22.44.22 2136416057052932516_moma.jpg,memes memesdeperros memesderisa memesenespa ol memeslatinos memedelgato momo momazos memelord momos k videoschistosos videoslatinos frsesdelavida funnyvideos like follow followme sigueme like like moma
36,2019-09-19 22.45.58 2136416862191157653_moma.jpg,painting oilonpaper oiloncanvas artwork art artgalleries interiordesign interior interiordecor portrait contemporaryart collection moma museum
37,2019-09-19 22.46.52 2136417314967482057_moma.jpg,barbaragladstonegallery guggenheimmuseumbilbao londonartfair abstractfigurative shirnkunsthalle gladstonegallery artrotterdam architecture MoMa hollywood contemporaryart maryboone artbasel museen contemporaryartcollection textezurkunst miamiart voguemagazine curator berlinblog whitecube k niggalerie maryboone larrygagosian jeffcoons leonardodicaprio deutschebank pacegallery
38,2019-09-19 22.48.55 2136418348417663137_moma.jpg,painting oilonpaper oiloncanvas artwork art artgalleries interiordesign interior interiordecor portrait contemporaryart collection moma museum
39,2019-09-19 22.49.12 2136418494521249144_moma.jpg,Giorgio de Chirico The Song of Love Oil on canvas x inches The Museum of Modern Art New York NY Nelson A Rockefeller Bequest
40,2019-09-19 22.58.50 2136423345017019719_moma.jpg,artadvisor newmoney artcurator bentonville fayettevillear artforlife banker wynwoodmiami artconsultant forceforgood logansquare whitneybiennial taipei artconsultant ellafontanalscisneros collector taiwan hedgefund nwarkansas moma artcurator greenwich investment curator bankerslife
41,2019-09-19 23.06.59 2136427439018294497_moma.jpg,New ones by kingjames
42,2019-09-19 23.10.43 2136429323560959432_moma.jpg,One of our great artists our greatest artist we are lucky that there will be so much Pope L coming up in New York Conquest crawl this Saturday downtown with publicartfund Choir whitneymuseum October member Pope L themuseumofmodernart October I was lucky enough to show performance photographs from Egg Eating Contest Basement Version NJ Works were courtesy miandn Part of a group exhibition Body Superficial in The artist describes the work as follows A solo performance supplemented by guitarist and comic foil interpolating the subjects of masculinity language and race popeL popeLNYC conquest whitneymuseum choir moma member performace performanceart photography
43,2019-09-19 23.12.18 2136430115966198156_moma.jpg,Texting Oil on canvas x inches Available oilpainting newyork art fashion vibes interiordesign galleries popart abstractart newyorkcity FIT museum artcollector colorful NY collectors artworld collection artist interior wip interiordesigners painting acrylic moma dog goals tbt
44,2019-09-19 23.12.48 2136430367758656126_moma.jpg,Aterrizaje perfecto collage art collage expo collagee collageartist subrealismo digitalcollage art pleyadian smile color talentovenezolano universe time tiempo poesia elojoquetodolove weed moma espiritualidad viralart artphotography artphoto love cosmology vacas ganado
45,2019-09-19 23.13.09 2136430551561648502_moma.jpg,contemporaryart primitivism moma whitneymuseum abstractart neoexpressionism neoexpressionist artistsoninstagram artistsofinstagram museumofmodernart contemporaryartists contemporaryartwork contemporarypainting abstractarts simonleegallery abstractpainting abstractartist nyartist nyartists davidzwirner gagosian luhringaugustine metbreuer matthewmarksgallery pacegallery dekooning acryliconcanvas neoexpressionist primitiveart modernart contemporaryart abstractexpressionism painting paint acrylicpainting undergroundart paintoncanvas wargstrom
46,2019-09-19 23.13.32 2136430738667759716_moma.jpg,TBT to falling in love w this city before I called it home newyork nyc manhattan queens brooklyn bronx statenisland MOMA home smallfish bigcity
47,2019-09-19 23.13.58 2136430963023080499_moma.jpg,CCH Golf game oil on canvas artist kunst fineart cchproduction contemporaryartist contemporaryart arte artsy artoftheday instaart instaartist artworks artcollector insta contemporaryartmuseum artdealer artadvisor artgallery gallery masterpiece moma tate contemporaryartcollector contemporaryartgallery cchfigurative cchpainting painting
49,2019-09-19 23.19.25 2136433701165303359_moma.jpg,Photo by shirin abedinirad itisartime by arnaldpomotz
50,2019-09-19 23.20.42 2136434349175426341_moma.jpg,Impression l auf Papier x cm brunoover newyork moma dali Picasso potero Madrid Barcelona K ln Ehrenfeld Afrika Amsterdam Stockholm Wiesbaden Mainz Museen Koblenz boppard Amsterdam art artcolon D sseldorf bonn mapalais boesner m nchen Paris bonn R desheim remagen Dresden Leipzig
51,2019-09-19 23.23.28 2136435740880660140_moma.jpg,art artist digitaldrawing digitalart abstractart tablet moma modernart nyc madrid london miami milano paris berlin postneohippie painting painter gracey guggenheim fatartgallery reinasofiamuseum thyssen tatemodern contemporaryartist gallery artbasel frieze curator fashion
52,2019-09-19 23.24.14 2136436123292175918_moma.jpg,art appreciation echo number by jackson pollock from our visit to themuseumofmodernart which is closed until october but you can enjoy it here credit jackson pollock echo number enamel paint on canvas acquired through the lillie p bliss bequest by exchange and the mr and mrs davidrockefeller fund conservation was madepossible by the bank of america art conservation project pollock krasner foundation artists rights society ars new york
53,2019-09-19 23.25.06 2136436562988621457_moma.jpg,Out with the old in with the new When you ve finished one chapter and before another begins it s time to reflect and remember what makes you really happy Today I ve made a weird discovery about myself I always thought I m more of a hippie person And my favorite travel destinations are all about nature But today I realized that the only place I really really want to go back is NEW YORK I feel trapped Like falling in love with the wrong guy Yes we had amazing time together but it was supposed to be just a holiday romance Now I realized that all this time I was trying to forget you with others my type places And you are too popular too everything Which I don t like usually Yet here I am Giving up and admitting I NY But I won t be thinking about you anymore Have a great life NY nyc love MoMA
