text
귀여운 세포를 볼 수 있어서 좋았다.
유미의 세포들을 매우 좋아하는데 전시회로 감상해서 너무 좋았다 
좋은 추억으로 남았습니다
오랜만에 싱그러움을 느낄 수 있어 좋았습니다. 감사합니다. :)
잘봤어요
귀여워서 행복했어요:)!
"쟈미있었디
"
울컥하네요ㅠㅠ
또 해주세요
조아요
Good
♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥
좋아하던 웹툰의 마지막을 이렇게 함께해서 좋았다
생각했던것보다 크고 잘 되있으며 체험할게 많아서 더 좋았어요:)
너무 재밌었습니다
감동
유미야 사랑해
웹툰 안에 있는 느낌이라 즐거웠어요
쟈밋어요!!
좋아요
좋다
재미있음
재미있었어요
정말 좋았어요.... 또 오고 싶을 정도로!!!!
너무 재밌었어요^^
웹툰을 좋아하는 저로써 너무 즐거운 추억이었습니다
기대 이상으로 재미있었다. 내가 알지못했던 등장인물이나 웹툰의 전개를 알수있어서 너무 재미있었다.
좋다
너무 귀여워요!!!!!!!
즐거웠어요 ㅎ
시각적으로 풍요로웠다
재미있었어요
사랑해요
재밌었어요
"마지막까지 함께한 윰세 포에버
"
 
동선이 조금 불편 나머지는 거의 다 만족
새롭디
너무좋았어요 재밌었어요
"스토리텔링과 구역 변별, 디스플레이 기법 등 전체적으로 너무 좋았습니다."
즐거운 경험이었습니다
좋아요
굿
유미야 행복해야 해 나도 행복할게 
재밌었습니다
다채로워서 좋았어요 콘텐츠가 좀 더 많았으면 좋겠어요
유미가 진짜 어딘가 살아있는 사람인것 같다
짱좋음><
행복햇다
"좋았어요! 무빙건최고
"
너무귀여워요 작가님최고♥
유미의 세포들 웹툰과 유미 인생을 다시 정주행하는 느낌이었어요
너무 재밌었어요
포토존이 다소 불편하여 아쉬웠다
재밌었습니다
좋앜ㅅ어요
매우만족
♥♥
너무 재밌었습니다!
좋아요
좋아요!!
"너무 재밌어요 웹툰 안 끝났으면 좋겠어요
"
굿
재밌었어요
굿
재미있었어요~
정말 좋았다 행복하다
너무 좋았습니다
유미 무죄
좋은 경험이었다
굳
좋아요
유미 최고
무빙건사랑해
좋았어요
굿
♥
♥
너무 좋고 12000원 하나도 안아까워요
"너무 재밌어요!!
"
삶에 대한 위로를 해 주는 인생웹툰이 전시회로 만들어졌단 소식에 기분 좋게 관람했는데 역시 실망시키지 않았습니다
이동건 ♥ 신순록
유미랑 헤어지는 기분 친한 친구가 해외로 가버리는 느낌. 졸업 하는 기분
출출
영상 책장쪽 싱크가 안맞아서 아쉬웠지만 유미 팬으로 울컥했어요 전체적인 이야기를 중요한 부분 위주로 전체적으로 볼 수 있어서 좋았습니다
"너무 좋았어요
"
웹툰 전혀 모른상태서 연인따라왔는데 중주행 갑니다잇~~~!!^^
정말 좋아요!
좋았다
너므재밌었어요
"유미를 보내기 너무 아쉬웠는데 이별하는 준비를 한것 같아 감사합니다
윰세덕에 주말이 행복했어요
유미 바비 웅이 모두 행복했으면 좋겠어요!"
"좋은추억으로 간직할게요
"
"즐거웠어요 ㅎㅎ
"
.
재미있게놀다가용
"인생 웹툰을 직접 경험해서 좋았어요
♥♥"
재밋엇당
꿀잠
좋았어요
"유미라는 캐릭터가 아니고 살아있는 유미를 만나는 기분이 들어서 몰입감 맀고 재미있었다
"
차기작도 기대할게요 작가님 ♥♥
양 부족
Good
구마 좋아요(추임새)
♥♥♥♥
스티커 더 만들어주세요 ㅎㅎ
넘무 기여어붜러
넘무 기여어붜러
좋아요
굳
굳
너무 좋았다
평소 유미의세포들을 매우 좋아했던 독자로서 이렇게 현실에서 만날수있어서 좋았다
평소 유미의세포들을 매우 좋아했던 독자로서 이렇게 현실에서 만날수있어서 좋았다
ㅇㄷㄱㅊㄱ
동건 작가님 만수무강하십쇼
너무 귀여웠어요 앞으로도 좋은 작품 부탁드려요
힐링
"재밌어용
"
전시는 매우 즐거웠는데 참여할수있는게 많이없는것같아요
설문조사가 너무 길어요
복습의 기회여써여
X
Good
Good
Good
꼭와보고싶었는데 감사합니다 ㅠㅠ
너무 좋고 귀여웠어요
재미있었다
즐거웠음
좋았다
"정주행고고
"
대박
ㅇㅇ
윰세는 사랑입니다
입체적 조형물이 좋았습니다 마치 어딘가 진짜로 있었던 케릭터 처럼
너무 좋았어요
사랑해유미야
"너무 좋았어요
"
"감정인식이 잘안됨 5번정도 시도후 가능했다, 키가 작거나 큰사람은 안된"
아잉
최고
재밌었다
좋아요
잘 보고갑니다아아 
안경연하남최고
넘 재밌어요
너무 재미있었고 다시 웹툰을 볼 의향이 생긴다
윰셒 사랑해요 내 최애 웹툰♥
즐겁지
맵핑 최고
유미의 세포들 웹툰이 더 좋아졌다
무빙건 포에버
유미사랑해 무빙건 사랑햐요
너무재밌었고  완결 축하드려요 재미있게 봤습니다.
너무 즐거웠습니다. 또 보러 오고싶어요
좋아요
짱
너무 좋았어요
다음에또 올게요
넘조음
전시와 스토리와 음악 모두 좋았습니다.
"굿굿
"
얼굴인식 잘 안되는거 빼고 다 너무너무 좋앗어요
굿
짱
귀엽당
Good
공간의 환기 부족으로 너무 피곤했어요
좋아요
최고 ㅜㅜ ㄱ끝난게 너므 아쉬워요 ㅠㅠㅠㅠ
너무 귀엽고 재밌었습니다!!
ㅇ
유미의 방 빔 프로젝트와 실제 광간을 합친 아이기어가 매우 참신했습니다 저는 프라임새포 찾기 콘텐츠와 같이 체험 콘텐츠를 좋아하는데 유미의 방은 신선해서 가장 기억에 남습니다 전체적으로 전시 완성도가 높았어요
"완결이 아쉽다
"
좋은거같고 웹툰과는 다른느낌을 느낄수있어 좋왔다
조아여
조아여
개밋어요
체험이 많아 좋았다
너무 좋았다
Good
웹툰을 보지않은 사람이지만 즐겁게 관람이 가능해서 좋았습니다
좋았어요
재밌있고 모형물이 너무 귀여웠어요.
아쉬워요
유미 최고
♥♥
좋아용
굿
없음
웹툰을 특별전으로 만나볼수있어서 좋았습니다
고생했어요 무빙건
재밌었당
재미있었다:D
"너무 좋아요 유미방 꾸며놓은거 진짜 최고b
"
처음부터 열심히 보아서  그런지  딸이  시집간  느낌이 이런걸까 란 생각이 들었습니다
유미를 더 많이 보주면 좋겠음  생각보다 유미가 많이 없음  
잘봤어용
재밌었다
너무 행복했어요
너무 행복했어요
웹툰캐릭터가 이렇게 사랑받는 문화가 참 흥미로워요 재밌었어요
다음에 또 연다면 그때도 오고싶다!!
즐겨 보는 웹툰 속 캐릭터들을 봏수있어서 좋았습니다
세심하게 구성한 것이  느껴져요 굿즈가 늘었으면 좋겠어요
너무 즐거웠어요
웅이 잘생겼다
세포들이 매우 귀여웠다
재밌었다 실제로 구현된 세포들과 체험형전시가 좋았다
재밌었다
너므 좋았어요 
유미는 늘 옳다
재미있었다
좋았어용
실제로 볼  수 있어  좋았습니다
짱
사진찍는 그 작가세포 부분 안됐어요ㅠㅠ 한참기다렸는데ㅜㅜ
좋았다
재밌었다
재방문하고 싶을정도로 너무 만족스러웠다
"설문이 너무 길아요ㅠㅠ 순록아 최고 ㅇ.ㅇㅋ.ㅁ이도 최고 플
"
"재밌ㄱ
엇어요"
유미세포들 너무좋았어오
잘가유미야
좋았어요
굳
그 속에  들어간  것 같았다
굳
굳
이거  보고  무민전시도  가고싶어짐
너무 좋아요
굿
♥
♥♥♥
웹툰 재밌게 보고 완결 한 후에 방문했는데 정주행 하거 싶어졌어요
10년 연재 더 해줘요..........
왜 벌써 완결난거죠..?ㅠㅠㅠ
"Good
"
재밋엇다
이동건 작가님 고생많으셨어요!! 포유미♥
넘귀엽다
쪼아요!!!!!!
너무 좋아요 유미야 사랑해
"너무 행복했습니다
"
네
귀여워요♥♥
최고
유미야 사랑해
굳
쌉존잼
세포들 너무 귀엽고 나의 프라임세포를 알 수 있어서 좋았다
","
좋아영
좋아요
너무 행복했습니다!
굿
재밌당
재미이다
아이 러브 유미
"감사합니다
"
좋아요 무빙건
웹툰에서만 보던 친구들을 실물로 본 기분   행복해요
최고
전시를 처음 와봤는데 꽤 재밌엄ㅅ다
좋았다
너무흥미로웠어요. 웹툰 다시보고싶어요
굳
너무즐겁게봤어용
힐링되는 시간이었다!
좋았습니당!
좋아하는 작가의 웹툰을 특별전이라는 경험울 할 수 있게 만들어 주어 좋았고 이런 기회가 많아지기를 바란다~~
좋았습니다
"유미의세포들짱
"
재밌었습니다!!
굳!!!
"듣기만한 작품에 관심이 생겼다 ~
정성들여 만드신게 보여 멋있었다!!"
훌륭한 전시였어요
"즐거웠다
"
꿀잼
아~맞다!를  연발했어요. 재밌었어요
포유미!!
사람이 많고 혼자 오면 재미없다  안내원 부족 (bts팝업스토어 직원 서비스 참고 요)
새로운 방법의 전시라 인상깊었습니다.
너무 재밌는 시간이였습니다.
♥♥♥
재밌어요
너무좋았어요
재밋엇어요
응큼이 왕 큰 피규어 있어서 넘 좋았어요
현실감이 더 너졌다
.
이동건작가 화이팅
좋은시간이엿어요
"재밌었어요
"
너무 즐겁고 마음이 몽ㄱ.ㄹ몽글해쟜어요
포 유미
너무 좋았어용
