,name,text
27,2019-09-29 23.57.14 2143700491355783232_대림미술관.jpg,글 나는 너를 잘 안다 그럼에도 매번 너의 어느 곳에 생채기를 내고 마는 건정작 내가 나를 다 알지 못해서 그렇다한 켠의 서러움은 지워지지 않는다언제쯤 나는 완전해져넘쳐나는 마음으로 너의 빈 곳을메울 수 있을까
29,2019-09-30 00.00.50 2143702306054836746_대림미술관.jpg,여보야랑 간만에 데이트예배도 드리고 전시티켓 생겨서 전시도 보고 좋으다 방마다 색으로도 즐거운 분위기가 나고 나만의 생각을 가구로 그림으로 화병으로 나타내면서 그의 상상을 같이 느껴본다 데이트 부부 주일 전시 문화 대림미술관 경복궁역 하이메아욘 일곱가지사연 티켓찬스 문화생활 신혼 맑은날 아직은덥다
30,2019-09-30 00.25.12 2143714564303410238_대림미술관.jpg,까꿍 콧물아니에여 대림미술관 하이메아욘 숨겨진일곱가지사연
31,2019-09-30 00.38.16 2143721144192444723_대림미술관.jpg,그림자놀이 하이메아욘 일곱가지사연 전시 부부 데이트 즐거운일요일 주일 경북궁 대림미술관
32,2019-09-30 00.45.11 2143724627627656443_대림미술관.jpg,전시회 가고싶었는데 표가 딱 고마어 색감이나 스케치가 특이해서 재밋게 봤다 숨겨진일곱가지사연 하이메아욘 오브제의연금술사 스페인 대림미술관 경복궁역 종로 전시회 문화생활 주말 일상 보석들이열대지방으로간이유 아프리칸도가족의사연 트라팔가르의체스경기 상상이현실이되는꿈 수상한캐비닛 가구가반짝이는푸른밤 아욘의그림자극장
34,2019-09-30 01.02.17 2143733229549671617_대림미술관.jpg,알차고 행복한 하루하루하루 하이메아욘 스테이골드 사색 대림미술관 북촌 서촌 을지로 일대를 활보
35,2019-09-30 01.05.47 2143734991073801903_대림미술관.jpg,꽃분이일상 대림미술관
36,2019-09-30 01.09.39 2143736937718250543_대림미술관.jpg,생일에도 유진이랑 생일 대림미술관 전시회 고마워
37,2019-09-30 01.11.38 2143737939283308585_대림미술관.jpg,주말 데이트 대림미술관 하이메아욘 숨겨진일곱가지사연 부부스타그램 좋은남편의길 그길은어디에있을까
38,2019-09-30 01.31.43 2143748042607313789_대림미술관.jpg,주말 가족 미술관나들이요즘 날씨 정말 이민생각 안나게 할정도로 환상적 대림미술관 카페 국립현대미술관 광화문 가족나들이 주말나들이 미술관 아들맘 딸맘 아들그램 딸그램 세아들 세딸 목동맘 홈스쿨링 미술 전시회 그림 하이메아욘 커피
39,2019-09-30 02.15.16 2143769966705259460_대림미술관.jpg,운전하늬라 고생했습니다덕분에 즐겁고 알찬 주말을 보냈댱 행복한띠띠댁 대림미술관 럽스타그램
40,2019-09-30 02.56.31 2143790728550136371_대림미술관.jpg,가을 좋아 딱 시원한 날씨 나는 하기 힘들것같아 일상 일상스타그램 카페 카페추천 꽃스타그램 가을스타그램 가을 안국역 종로 경복궁 대림미술관 친스타그램 인생사진 인생샷 주말 커플스타그램 커플 럽스타 럽스타그램 데이트 유후 필터 커피 맛스타그램 이대맛집 이대역맛집 하오판다
41,2019-09-30 04.06.07 2143825753446449899_대림미술관.jpg,진짜 색다른 전시회였던 것 같아 학교 방과후에 대림미술관 하이메아욘 산업디자이너 스페인 숨겨진일곱가지사연 전시회 그림자 파코 년생 살 고 뒷북
42,2019-09-30 04.21.23 2143833442964677279_대림미술관.jpg,돈도 없는 그지깽깽이 가은이는 그렇게 원짜리 핀버튼을 개나 사버렸다고 해요 학교 대림미술관 하이메아욘 숨겨진일곱가지사연 전시회 굿즈 핀버튼 찢청 년생 살 고 뒷북
43,2019-09-30 07.21.45 2143924223131612618_대림미술관.jpg,대림미술관 전시장을 갔다 옛것을 통해 새로운걸 결합하는 디자이너 굿즈를 귀엽고 비쌌다 일요일밤에불이 붙어서 월요일이 힘들다 대림미술관 전시 경복궁역 미술
44,2019-09-30 08.55.49 2143971573760459422_대림미술관.jpg,대림미술관 하이메아욘 그림그림
45,2019-09-30 08.58.57 2143973149308626972_대림미술관.jpg,대림미술관 하이메아욘 트라팔가르의체스경기 그림그림
46,2019-09-30 09.02.17 2143974821445021368_대림미술관.jpg,주말 일요일 서울 종로 대림미술관 전시회 하이메아욘숨겨진일곱가지사연 그린치킨맛있겠다전시회 초청권으로 중선이랑 게이트날 좋았는데 중선이랑 있어서 참 기분이가 좋았다 참전시회 보면서 신나게 웃어서 재미가 두배
47,2019-09-30 09.04.51 2143976117367526801_대림미술관.jpg,주말 일요일 서울 종로 대림미술관 전시회 하이메아욘숨겨진일곱가지사연 작품모음
48,2019-09-30 09.09.51 2143978634208912684_대림미술관.jpg,대림미술관 하이메아욘디자인전 청소년배우김도윤 아이돌지망생김규리 옆집커피멤버들 기다리며
49,2019-09-30 09.22.21 2143984926370739628_대림미술관.jpg,주말 일요일 서울 종로 대림미술관 전시회 하이메아욘숨겨진일곱가지사연 인물사진
50,2019-09-30 09.27.53 2143987711606703061_대림미술관.jpg,드디어 하이메아욘 보는 내내 기분좋아지는 디자인들 밀란에서 보든 서울에서 보든 아욘의 디자인은 즐겁고 편하게 볼수 있어 좋은듯 사진의 표정은 전혀 아닌거같아 보이지만 그리고 정처없이 걷다 얻어 걸린 도취 테이블이 낮아 불편했지만 맛은 좋았던 마라순두부와 취킨 알찬 주말이었다 대림미술관 하이메아욘 도취
51,2019-09-30 09.43.53 2143995763378952819_대림미술관.jpg,월 일 마무리 잘하고 한주에 새로운 달 맞이도 빌립보서 장 절 주 안에서 항상 기뻐하라 내가 다시 말하노니 기뻐하라 너희 관용을 모든 사람에게 알게 하라 주께서 가까우시니라 아무 것도 염려하지 말고 다만 모든 일에 기도와 간구로 너희 구할 것을 감사함으로 하나님께 아뢰라 서촌 뽀빠이화원 서촌뽀빠이화원 서촌카페 꽃 꽃다발 미니꽃다발 대호서점 대림미술과 서촌 수성계곡
52,2019-09-30 10.04.15 2144006010019270020_대림미술관.jpg,모던타투미술관 우리는 타투에 관심이 많은 분들을 위해 국내에서 활동 중인 타투이스트들의 작업물을 공유하고 있으며 이름처럼 하나의 미술관처럼 누구나 쉽게 접할 수 있는 전시공간으로 보이길 바랍니다
53,2019-09-30 10.18.46 2144013316740255403_대림미술관.jpg,딸과 미술관 데이트 미술관은 언제나 지치거나 지루해진 일상에 회복 에너지를 채워준다 걷기 좋은 파란하늘 환기가 될 수 밖에 미술관데이트 딸과데이트 대림미술관 서촌 하이메아욘전시 궁궐돌담길 경복궁역
54,2019-09-30 10.21.01 2144014453765634324_대림미술관.jpg,딸과 미술관 데이트 미술관은 언제나 지치거나 지루해진 일상에 회복 에너지를 채워준다 걷기 좋은 파란하늘 환기가 될 수 밖에 미술관데이트 딸과데이트 대림미술관 서촌 하이메아욘전시 궁궐돌담길
55,2019-09-30 10.24.20 2144016117991843804_대림미술관.jpg,오랜만에 대림미술관 하이메 아욘 생각이 현실로 이루어지는것꿈꾸는 사람만이 이루어낼수있는것현실에 안주하고꿈꾸는것을 잠시멈췄었던내자신을 되돌아 보았던시간 대림미술관 하이메아욘 하이메아욘숨겨진일곱가지사연
56,2019-09-30 10.26.16 2144017089634111400_대림미술관.jpg,딸과 미술관 데이트 지난 태풍의 영향인지 대오서점 간판에 페인트가 뜯겨서 없어질려하네 흔적아 남아줘 미술관데이트 딸과데이트 대림미술관 서촌 하이메아욘전시 궁궐돌담길
57,2019-09-30 11.35.40 2144052021820726091_대림미술관.jpg,충북콘텐츠코리아랩이 소개하는 기업의 가치를 살린 문화공간 어떤 곳이 있는지 같이 보러 가볼까요 각양각색의 모양을 띄고 있지만 성장 가능성이 있는 인재들이 모여 인재들을 모아 새로운 콘텐츠를 창조해나가는 모습은 닮았지요 충북콘텐츠코리아랩도 쾌적하고 예술적인 공간과 도전하고 발전하고 싶은 창작자들에게 무한한 지원을 해드리고 있으니 많은 관심 부탁드립니다 충북콘텐츠코리아랩 우란문화재단 우민아트센터 대림미술관 미메시스 두성종이 디뮤지엄 구슬모아당구장 우란 우민 대림 미술관 출판 콘텐츠 문화콘텐츠 예술 기업 창작 창작자 스타트업 창업 창조 좋아요 소통
58,2019-09-30 11.42.47 2144055606817134546_대림미술관.jpg,밥 먹고 합시다
59,2019-09-30 11.59.00 2144063770099774665_대림미술관.jpg,하이메 아욘 숨겨진 일곱 가지 사연 잘 모르겠지만 그냥 구경 하이메아욘 대림미술관 예술이란 뭘까 럽스타그램 신혼부부 데이트
60,2019-09-30 12.04.56 2144066754170420322_대림미술관.jpg,하이메아욘 대림미술관
61,2019-09-30 12.19.44 2144074203741955443_대림미술관.jpg,대림미술관 하이메아욘 일요일 낮
